date,ticker,open,high,low,close,adj close,volume
2025-01-01,DEMO_A,100.000000,100.748945,99.700000,100.447603,100.447603,427285
2025-01-02,DEMO_A,100.447603,101.833390,100.146260,101.528804,101.528804,319439
2025-01-03,DEMO_A,101.528804,103.203829,101.224218,102.895144,102.895144,200734
2025-01-06,DEMO_A,102.895144,103.203829,100.753347,101.056517,101.056517,147088
2025-01-07,DEMO_A,101.056517,101.561569,100.753347,101.257796,101.257796,458738
2025-01-08,DEMO_A,101.257796,101.561569,100.950467,101.254230,101.254230,493032
2025-01-09,DEMO_A,101.254230,101.557993,99.771978,100.072194,100.072194,350175
2025-01-10,DEMO_A,100.072194,101.491644,99.771978,101.188079,101.188079,285399
2025-01-13,DEMO_A,101.188079,101.605828,100.884515,101.301922,101.301922,301207
2025-01-14,DEMO_A,101.301922,102.293489,100.998016,101.987527,101.987527,511380
2025-01-15,DEMO_A,101.987527,102.293489,100.485749,100.788113,100.788113,146067
2025-01-16,DEMO_A,100.788113,101.090477,99.165637,99.464029,99.464029,377292
2025-01-17,DEMO_A,99.464029,101.017107,99.165637,100.714962,100.714962,238379
2025-01-20,DEMO_A,100.714962,101.017107,100.173310,100.474734,100.474734,415832
2025-01-21,DEMO_A,100.474734,100.776159,99.242741,99.541365,99.541365,133960
2025-01-22,DEMO_A,99.541365,99.839989,99.048077,99.346116,99.346116,585349
2025-01-23,DEMO_A,99.346116,99.644154,98.475597,98.771913,98.771913,479949
2025-01-24,DEMO_A,98.771913,99.829239,98.475597,99.530647,99.530647,197319
2025-01-27,DEMO_A,99.530647,100.361366,99.232055,100.061183,100.061183,373284
2025-01-28,DEMO_A,100.061183,100.988720,99.760999,100.686660,100.686660,177144
2025-01-29,DEMO_A,100.686660,104.083337,100.384600,103.772021,103.772021,283321
2025-01-30,DEMO_A,103.772021,104.083337,102.741947,103.051101,103.051101,583754
2025-01-31,DEMO_A,103.051101,103.360254,101.598387,101.904100,101.904100,138171
2025-02-03,DEMO_A,101.904100,103.858905,101.598387,103.548260,103.548260,334777
2025-02-04,DEMO_A,103.548260,103.858905,103.093672,103.403883,103.403883,443239
2025-02-05,DEMO_A,103.403883,103.714095,101.930914,102.237627,102.237627,337852
2025-02-06,DEMO_A,102.237627,103.503310,101.930914,103.193728,103.193728,570153
2025-02-07,DEMO_A,103.193728,104.314226,102.884147,104.002219,104.002219,318575
2025-02-10,DEMO_A,104.002219,104.314226,102.749151,103.058326,103.058326,317608
2025-02-11,DEMO_A,103.058326,103.557210,102.749151,103.247468,103.247468,502382
2025-02-12,DEMO_A,103.247468,103.895528,102.937725,103.584774,103.584774,219778
2025-02-13,DEMO_A,103.584774,104.242112,103.274019,103.930321,103.930321,441247
2025-02-14,DEMO_A,103.930321,105.258685,103.618530,104.943853,104.943853,502449
2025-02-17,DEMO_A,104.943853,105.706740,104.629021,105.390568,105.390568,103681
2025-02-18,DEMO_A,105.390568,106.666451,105.074396,106.347409,106.347409,335783
2025-02-19,DEMO_A,106.347409,106.666451,105.576021,105.893702,105.893702,452582
2025-02-20,DEMO_A,105.893702,106.211383,104.904043,105.219702,105.219702,352803
2025-02-21,DEMO_A,105.219702,105.535361,104.521633,104.836142,104.836142,384370
2025-02-24,DEMO_A,104.836142,107.396035,104.521633,107.074810,107.074810,319806
2025-02-25,DEMO_A,107.074810,108.883571,106.753586,108.557898,108.557898,434201
2025-02-26,DEMO_A,108.557898,108.883571,105.733203,106.051357,106.051357,139598
2025-02-27,DEMO_A,106.051357,106.633479,105.733203,106.314535,106.314535,482499
2025-02-28,DEMO_A,106.314535,107.533738,105.995592,107.212101,107.212101,145283
2025-03-03,DEMO_A,107.212101,108.756507,106.890465,108.431213,108.431213,379603
2025-03-04,DEMO_A,108.431213,108.756507,107.600934,107.924708,107.924708,273749
2025-03-05,DEMO_A,107.924708,109.578481,107.600934,109.250728,109.250728,318358
2025-03-06,DEMO_A,109.250728,109.578481,108.653371,108.980312,108.980312,596332
2025-03-07,DEMO_A,108.980312,109.307253,106.964469,107.286328,107.286328,526701
2025-03-10,DEMO_A,107.286328,107.608187,105.617532,105.935338,105.935338,527835
2025-03-11,DEMO_A,105.935338,106.486515,105.617532,106.168011,106.168011,240691
2025-03-12,DEMO_A,106.168011,107.542396,105.849507,107.220734,107.220734,163140
2025-03-13,DEMO_A,107.220734,107.802916,106.899072,107.480475,107.480475,378516
2025-03-14,DEMO_A,107.480475,108.772982,107.158033,108.447639,108.447639,304593
2025-03-17,DEMO_A,108.447639,109.492694,108.122296,109.165199,109.165199,303193
2025-03-18,DEMO_A,109.165199,109.492694,107.855336,108.179875,108.179875,267145
2025-03-19,DEMO_A,108.179875,108.504415,107.301917,107.624791,107.624791,111356
2025-03-20,DEMO_A,107.624791,107.947666,105.541555,105.859132,105.859132,448385
2025-03-21,DEMO_A,105.859132,106.176710,104.871221,105.186781,105.186781,330938
2025-03-24,DEMO_A,105.186781,105.541903,104.871221,105.226225,105.226225,569025
2025-03-25,DEMO_A,105.226225,106.225001,104.910546,105.907280,105.907280,176156
2025-03-26,DEMO_A,105.907280,107.240598,105.589558,106.919839,106.919839,183107
2025-03-27,DEMO_A,106.919839,107.240598,105.990418,106.309346,106.309346,290510
2025-03-28,DEMO_A,106.309346,106.628274,105.893370,106.212006,106.212006,403598
2025-03-31,DEMO_A,106.212006,106.530642,103.790357,104.102665,104.102665,280906
2025-04-01,DEMO_A,104.102665,104.414973,101.906454,102.213093,102.213093,269471
2025-04-02,DEMO_A,102.213093,103.115749,101.906454,102.807327,102.807327,580948
2025-04-03,DEMO_A,102.807327,103.115749,101.228001,101.532598,101.532598,328708
2025-04-04,DEMO_A,101.532598,103.727225,101.228001,103.416974,103.416974,232934
2025-04-07,DEMO_A,103.416974,103.727225,102.614260,102.923029,102.923029,230570
2025-04-08,DEMO_A,102.923029,103.231798,101.302010,101.606831,101.606831,458445
2025-04-09,DEMO_A,101.606831,101.911651,101.031276,101.335282,101.335282,139626
2025-04-10,DEMO_A,101.335282,101.639288,100.572984,100.875610,100.875610,148195
2025-04-11,DEMO_A,100.875610,102.396036,100.572984,102.089767,102.089767,452016
2025-04-14,DEMO_A,102.089767,103.041305,101.783497,102.733106,102.733106,201181
2025-04-15,DEMO_A,102.733106,103.405508,102.424907,103.096219,103.096219,373453
2025-04-16,DEMO_A,103.096219,103.405508,100.747099,101.050249,101.050249,188386
2025-04-17,DEMO_A,101.050249,101.476093,100.747099,101.172575,101.172575,346381
